# SUBARU_g
# energy
# Subaru    SuprimeCam-g
3737.700  0.000000
3747.500  0.000007
3757.200  0.000020
3767.000  0.000037
3776.700  0.000058
3786.400  0.000089
3796.200  0.000129
3805.900  0.000213
3815.700  0.000399
3825.400  0.000762
3835.200  0.001425
3844.900  0.002554
3854.700  0.004365
3864.400  0.007123
3874.200  0.011113
3883.900  0.016527
3893.600  0.023474
3903.400  0.031874
3913.100  0.041456
3922.900  0.052103
3932.600  0.063429
3942.400  0.075053
3952.100  0.086712
3961.900  0.098282
3971.600  0.109860
3981.300  0.121860
3991.100  0.134701
4000.800  0.148497
4010.600  0.162484
4020.300  0.176168
4030.100  0.188828
4039.800  0.199802
4049.600  0.209127
4059.300  0.217356
4069.100  0.225355
4078.800  0.233849
4088.500  0.243100
4098.300  0.252814
4108.000  0.262362
4117.800  0.271540
4127.500  0.279864
4137.300  0.287548
4147.000  0.294847
4156.800  0.301691
4166.500  0.308144
4176.200  0.314689
4186.000  0.321450
4195.700  0.328285
4205.500  0.334840
4215.200  0.340999
4225.000  0.346810
4234.700  0.352020
4244.500  0.356922
4254.200  0.361652
4264.000  0.366036
4273.700  0.369942
4283.400  0.373550
4293.200  0.376806
4302.900  0.379915
4312.700  0.383502
4322.400  0.387754
4332.200  0.392785
4341.900  0.398481
4351.700  0.404622
4361.400  0.410738
4371.200  0.416733
4380.900  0.422396
4390.600  0.427577
4400.400  0.432498
4410.100  0.436945
4419.900  0.441311
4429.600  0.445295
4439.400  0.449175
4449.100  0.453009
4458.900  0.456596
4468.600  0.459937
4478.300  0.463281
4488.100  0.466682
4497.800  0.470131
4507.600  0.473103
4517.300  0.475606
4527.100  0.478135
4536.800  0.481060
4546.600  0.484289
4556.300  0.487847
4566.100  0.492153
4575.800  0.496873
4585.500  0.501577
4595.300  0.506105
4605.000  0.510136
4614.800  0.513565
4624.500  0.516271
4634.300  0.518365
4644.000  0.520067
4653.800  0.521607
4663.500  0.522891
4673.300  0.524343
4683.000  0.526282
4692.700  0.528628
4702.500  0.531147
4712.200  0.533658
4722.000  0.536200
4731.700  0.538651
4741.500  0.540910
4751.200  0.543063
4761.000  0.545558
4770.700  0.548479
4780.400  0.551818
4790.200  0.555627
4799.900  0.559727
4809.700  0.563944
4819.400  0.567982
4829.200  0.571681
4838.900  0.574661
4848.700  0.576699
4858.400  0.578042
4868.200  0.578985
4877.900  0.579287
4887.600  0.579121
4897.400  0.578953
4907.100  0.579075
4916.900  0.579493
4926.600  0.580126
4936.400  0.581057
4946.100  0.582375
4955.900  0.584315
4965.600  0.586789
4975.400  0.589761
4985.100  0.592904
4994.800  0.596393
5004.600  0.600157
5014.300  0.603914
5024.100  0.607630
5033.800  0.611138
5043.600  0.614862
5053.300  0.618724
5063.100  0.622544
5072.800  0.626112
5082.500  0.629530
5092.300  0.633039
5102.000  0.636244
5111.800  0.638547
5121.500  0.640575
5131.300  0.642327
5141.000  0.643530
5150.800  0.644134
5160.500  0.644285
5170.300  0.644014
5180.000  0.643241
5189.700  0.642421
5199.500  0.641878
5209.200  0.641876
5219.000  0.642235
5228.700  0.643124
5238.500  0.644518
5248.200  0.646054
5258.000  0.647589
5267.700  0.649303
5277.400  0.651111
5287.200  0.652675
5296.900  0.652721
5306.700  0.648617
5316.400  0.640449
5326.200  0.626163
5335.900  0.603750
5345.700  0.571970
5355.400  0.530514
5365.200  0.482010
5374.900  0.426999
5384.600  0.368645
5394.400  0.310372
5404.100  0.255021
5413.900  0.204992
5423.600  0.162179
5433.400  0.126981
5443.100  0.098820
5452.900  0.076736
5462.600  0.059645
5472.400  0.046583
5482.100  0.036629
5491.800  0.029024
5501.600  0.023145
5511.300  0.018586
5521.100  0.015025
5530.800  0.012196
5540.600  0.009943
5550.300  0.008131
5560.100  0.006672
5569.800  0.005515
5579.500  0.004568
5589.300  0.003788
5599.000  0.003160
5608.800  0.002628
5618.500  0.002016
5628.300  0.001472
5638.000  0.001036
5647.800  0.000676
5657.500  0.000370
5667.300  0.000118
5677.000  0.000000
