# WAVELENGTH THROUGHPUT
3400 0
3500 0.0028
3600 0.0078
3700 0.02
3800 0.0719
3900 0.1772
4000 0.2826
4100 0.3417
4200 0.3902
4300 0.4242
4400 0.4549
4500 0.4768
4600 0.4994
4700 0.517
4800 0.5263
4900 0.5335
5000 0.5459
5100 0.5555
5200 0.5581
5300 0.5605
5400 0.5563
5500 0.5644
5600 0.569
5700 0.5748
5800 0.5777
5900 0.5776
6000 0.5801
6100 0.5764
6200 0.5729
6300 0.5686
6400 0.5384
6500 0.3626
6600 0.1142
6700 0.055
6800 0.0441
6900 0.0142
7000 0.0035
7100 0.01
7200 0.0178
7300 0.015
7400 0.0067
7500 0.0016
# 7600 0.0004
# 7700 0.0013
# 7800 0.004
# 7900 0.0053
# 8000 0.0039
# 8100 0.0037
# 8200 0.0042
# 8300 0.0027
# 8400 0.0015
# 8500 0.002
# 8600 0.0016
# 8700 0.0016
# 8800 0.0034
# 8900 0.0048
# 9000 0.0037
# 9100 0.0018
# 9200 0.0016
# 9300 0.0029
# 9400 0.0034
# 9500 0.0025
# 9600 0.0012
# 9700 0.0007
# 9800 0.001
# 9900 0.0011
# 10000 0.0008
# 10010 0
