# from https://www.gemini.edu/observing/resources/near-ir-resources/spectroscopy/hydrogen-recombination-lines
# Wavelength are in micron in vacuum
name,wave
Pa 4-3,1.87561
Pa 5-3,1.28216
Pa 6-3,1.09411
Pa 7-3,1.00521
Pa 8-3,0.95486
Pa 9-3,0.92315
Pa 10-3,0.90174
Pa 11-3,0.88652
Pa 12-3,0.87529
Pa 13-3,0.86674
Pa 14-3,0.86008
Pa 15-3,0.85477
Pa 16-3,0.85048
Pa 17-3,0.84696
Pa 18-3,0.84403
Br 5-4,4.05226
Br 6-4,2.62587
Br 7-4,2.16612
Br 8-4,1.94509
Br 9-4,1.81791
Br 10-4,1.73669
Br 11-4,1.68111
Br 12-4,1.64117
Br 13-4,1.61137
Br 14-4,1.58849
Br 15-4,1.57050
Br 16-4,1.55607
Br 17-4,1.54431
Br 18-4,1.53460
Br 19-4,1.52647
Br 20-4,1.51960
Br 21-4,1.51374
Pf 7-5,4.65378
Pf 8-5,3.74056
Pf 9-5,3.29699
Pf 10-5,3.03920
Pf 11-5,2.87300
Pf 11-5,2.87300
Pf 12-5,2.75827
Pf 13-5,2.67513
Pf 14-5,2.61265
Pf 15-5,2.56433
Pf 16-5,2.52609
Pf 17-5,2.49525
Pf 18-5,2.46999
Pf 19-5,2.44900
Pf 20-5,2.43136
Pf 21-5,2.41639
Pf 22-5,2.40355
Pf 23-5,2.39248
Pf 24-5,2.38282
Pf 25-5,2.37438
Pf 26-5,2.36694
Pf 27-5,2.36035
Pf 28-5,2.35448
Pf 29-5,2.34924
Pf 30-5,2.34453
Pf 31-5,2.34028
Pf 32-5,2.33644
Pf 33-5,2.33296
Pf 34-5,2.32979
Hu 10-6,5.12865
Hu 11-6,4.67251
Hu 13-6,4.17080
Hu 14-6,4.02087
Hu 15-6,3.90755
Hu 16-6,3.81945
Hu 17-6,3.74940
Hu 18-6,3.69264
Hu 19-6,3.64593
Hu 20-6,3.60697
Hu 21-6,3.57410
Hu 22-6,3.54610
Hu 23-6,3.52203
Hu 24-6,3.50116
Hu 25-6,3.48296
