# NIR Wolf-Rayet emission lines
# Nishimaki et al. 2008 
# https://doi.org/10.1093/pasj/60.2.191
# Wavelength are in microns in air
name,awav
HI 9–3,0.923
HeII 18–6,0.928
HeII 17–6,0.937
HeII 16–6,0.954
HI 8–3,0.955
HeI 7s–3p,0.971
CIII 3d–3p,0.972
HeII 15–6,0.976
HI 7–3,1.005
HeII 14–6,1.005
HeII 5–4 (common),1.013
HeI 7f–3d,1.031
HeII 13–6,1.042
CIV 12–9,1.055
HeI 2p–2s (common),1.083
HeI 6p–3d,1.091
HeI 6f–3d,1.092
HI 6–3,1.094
HeII 12–6,1.094
HeII 7–5,1.163
HeII 11–6,1.168
CIV 8–7,1.191
HeI 5d–3p,1.197
CIII 4p–4s,1.199
HeI 4p–3s,1.253
HeII 21–7,1.256
HeII 20–7,1.272
HeI 5f–3d,1.279
CIII 15–9,1.281
HI 5–3,1.282
HeII 10–6,1.282
HeII 19–7,1.292
HeI 5d–3p,1.297
CIV 16–11,1.307
HeII 18–7,1.315
HeII 9–6,1.476
HeII 14–7,1.489
HI 23–4,1.504
HI 22–4,1.509
HI 21–4,1.514
HI 20–4,1.52
HI 19–4,1.526
HI 18–4,1.535
HI 17–4,1.544
HI 16–4,1.556
HI 15–4,1.57
HeII 13–7,1.572
HI 14–4,1.588
HI 14–3,1.611
CIV 17–12,1.635
CIII 3d–3p,1.637
HI 12–4,1.641
CIV 9d–8p,1.663
HI 11–4,1.681
HeII 12–7,1.692
HeI 4d–3p,1.701
HeII 20–8,1.736
CIV 9–8,1.736
HI 10–4,1.737
HeII 19–8,1.772
HeII 15–8,2.038
HeI 2p–2s,2.059
CIV 3d–3p,2.078
CIII 5p–5s,2.108
HeI 4s–3p,2.113
CIII 8–7,2.117
HeII 14–8,2.165
HI 7–4,2.166
HeII 10–7,2.189
HeII 21–9,2.261
CIV 15–12,2.278
HeII 20–9,2.314
CIV 17–13,2.318
CIII 5p–5s,2.325
HeII 13–8,2.347
HeII 19–9,2.379
CIV 13–11,2.426
CIV 10–9,2.428
HeII 18–9,2.461
