#data partially from http://astronomy.nmsu.edu/drewski/tableofemissionlines.html
#wavelength are in air (including Ly_alpha !!)
name awav latex_str
Ly_alpha 1215.111 Ly$\alpha$
OII_3726 3726.032 [O\,\textsc{ii}]$\lambda3726$
OII_3729 3728.815 [O\,\textsc{ii}]$\lambda3729$
NeIII_3869 3868.760 [Ne\,\textsc{iii}]$\lambda3869$
HeI_3889 3888.647 He\,\textsc{i}$\lambda3889$
H_delta 4101.742 H$\delta$
H_gamma 4340.471 H$\gamma$
OIII_4363 4363.210 [O\,\textsc{iii}]$\lambda4363$
H_beta 4861.333 H$\beta$
OIIIa_4959 4958.911 [O\,\textsc{iii}]$\lambda4959$
OIIIb_5007 5006.843 [O\,\textsc{iii}]$\lambda5007$
HeI_5876 5875.624 He\,\textsc{i}$\lambda5876$
OI_6300 6300.304 [O\,\textsc{i}]$\lambda6300$
NII_6548 6548.050 [N\,\textsc{ii}]$\lambda6548$
H_alpha 6562.819 H$\alpha$
NII_6584 6583.460 [N\,\textsc{ii}]$\lambda6584$
SII_6717 6716.440 [S\,\textsc{ii}]$\lambda6717$
SII_6731 6730.810 [S\,\textsc{ii}]$\lambda6731$
ArIII7135 7135.790 [Ar\,\textsc{iii}]$\lambda7135$
Pa_alpha 18751.3 Pa$\alpha$
