# Data from http://astronomy.nmsu.edu/drewski/tableofemissionlines.html
# Vacuum wavelengths are given for lines with λ < 2000Å; air wavelengths are given for lines with λ > 2000Å.
λ (Å),Ion    
770.409,Ne VIII 
780.324,Ne VIII 
937.814,Lyε     
949.742,Lyδ     
977.030,C III   
989.790,N III   
991.514,N III   
991.579,N III   
1025.722,Lyβ     
1031.912,O VI    
1037.613,O VI    
1066.660,Ar I    
1215.670,Lyα     
1238.821,N V     
1242.804,N V     
1260.422,Si II   
1264.730,Si II   
1302.168,O I     
1334.532,C II    
1335.708,C II    
1393.755,Si IV   
1397.232,O IV]   
1399.780,O IV]   
1402.770,Si IV   
1486.496,N IV]   
1548.187,C IV    
1550.772,C IV    
1640.420,He II   
1660.809,O III]  
1666.150,O III]  
1746.823,N III]  
1748.656,N III]  
1854.716,Al III  
1862.790,Al III  
1892.030,Si III] 
1908.734,C III]  
2142.780,N II]   
2320.951,[O III] 
2323.500,C II]   
2324.690,C II]   
2648.710,[Fe XI] 
2733.289,He II   
2782.700,[Mg V]  
2795.528,Mg II]  
2802.705,Mg II]  
2829.360,[Fe IV] 
2835.740,[Fe IV] 
2853.670,[Ar IV] 
2868.210,[Ar IV] 
2928.000,[Mg V]  
2945.106,He I    
3132.794,O III   
3187.745,He I    
3203.100,He II   
3312.329,O III   
3345.821,[Ne V]  
3425.881,[Ne V]  
3444.052,O III   
3466.497,[N I]   
3466.543,[N I]   
3487.727,He I    
3586.320,[Fe VII]
3662.500,[Fe VI] 
3686.831,H19     
3691.551,H18     
3697.157,H17     
3703.859,H16     
3711.977,H15     
3721.945,H14     
3726.032,[O II]  
3728.815,[O II]  
3734.369,H13     
3750.158,H12     
3758.920,[Fe VII]
3770.637,H11     
3797.904,H10     
3835.391,H9      
3839.270,[Fe V]  
3868.760,[Ne III]
3888.647,He I    
3889.064,H8      
3891.280,[Fe V]  
3911.330,[Fe V]  
3967.470,[Ne III]
3970.079,Hε      
4026.190,He I    
4068.600,[S II]  
4071.240,[Fe V]  
4076.349,[S II]  
4101.742,Hδ      
4143.761,He I    
4178.862,Fe II   
4180.600,[Fe V]  
4233.172,Fe II   
4227.190,[Fe V]  
4287.394,[Fe II] 
4303.176,Fe II   
4317.139,O II    
4340.471,Hγ      
4363.210,[O III] 
4412.300,[Ar XIV]
4414.899,O II    
4416.830,Fe II   
4452.098,[Fe II] 
4471.479,He I    
4489.183,Fe II   
4491.405,Fe II   
4510.910,N III   
4522.634,Fe II   
4555.893,Fe II   
4582.835,Fe II   
4583.837,Fe II   
4629.339,Fe II   
4634.140,N III   
4640.640,N III   
4641.850,N III   
4647.420,C III   
4650.250,C III   
4651.470,C III   
4658.050,[Fe III]
4685.710,He II   
4711.260,[Ar IV] 
4740.120,[Ar IV] 
4861.333,Hβ      
4893.370,[Fe VII]
4903.070,[Fe IV] 
4923.927,Fe II   
4958.911,[O III] 
5006.843,[O III] 
5018.440,Fe II   
5084.770,[Fe III]
5145.750,[Fe VI] 
5158.890,[Fe VII]
5169.033,Fe II   
5176.040,[Fe VI] 
5197.577,Fe II   
5200.257,[N I]   
5234.625,Fe II   
5236.060,[Fe IV] 
5270.400,[Fe III]
5276.002,Fe II   
5276.380,[Fe VII]
5302.860,[Fe XIV]
5309.110,[Ca V]  
5316.615,Fe II   
5316.784,Fe II   
5335.180,[Fe VI] 
5424.220,[Fe VI] 
5517.709,[Cl III]
5537.873,[Cl III]
5637.600,[Fe VI] 
5677.000,[Fe VI] 
5695.920,C III   
5720.700,[Fe VII]
5754.590,[N II]  
5801.330,C IV    
5811.980,C IV    
5875.624,He I    
6046.440,O I     
6087.000,[Fe VII]
6300.304,[O I]   
6312.060,[S III] 
6347.100,Si II   
6363.776,[O I]   
6369.462,Fe II   
6374.510,[Fe X]  
6516.081,Fe II   
6548.050,[N II]  
6562.819,Hα      
6583.460,[N II]  
6716.440,[S II]  
6730.810,[S II]  
7002.230,O I     
7005.870,[Ar V]  
7065.196,He I    
7135.790,[Ar III]
7155.157,[Fe II] 
7170.620,[Ar IV] 
7172.000,[Fe II] 
7236.420,C II    
7237.260,[Ar IV] 
7254.448,O I     
7262.760,[Ar IV] 
7281.349,He I    
7319.990,[O II]  
7330.730,[O II]  
7377.830,[Ni II] 
7411.160,[Ni II] 
7452.538,[Fe II] 
7468.310,N I     
7611.000,[S XII] 
7751.060,[Ar III]
7816.136,He I    
7868.194,Ar I    
7889.900,[Ni III]
7891.800,[Fe XI] 
8236.790,He II   
8392.397,Pa20    
8413.318,Pa19    
8437.956,Pa18    
8446.359,O I     
8467.254,Pa17    
8498.020,Ca II   
8502.483,Pa16    
8542.090,Ca II   
8545.383,Pa15    
8578.700,[Cl II] 
8598.392,Pa14    
8616.950,[Fe II] 
8662.140,Ca II   
8665.019,Pa13    
8680.282,N I     
8703.247,N I     
8711.703,N I     
8750.472,Pa12    
8862.782,Pa11    
8891.910,[Fe II] 
9014.909,Pa10    
9068.600,[S III] 
9229.014,Pa9     
9531.100,[S III] 
9545.969,Paε     
9824.130,[C I]   
9850.260,[C I]   
9913.000,[S VIII]
10027.730,He I    
10031.160,He I    
10049.368,Paδ     
10286.730,[S II]  
10320.490,[S II]  
10336.410,[S II]  
10746.800,[Fe XIII]
10830.340,He I    
10938.086,Paγ     
