name,wvlg,freq
MgI_2026.5,2026.5,17
MgII_2796.3,2796.3,37
MgII_2803.5,2803.5,48
SiII_1260.4,1260.4,16
SiII_1304.4,1304.4,24
SiII_1309.3*,1309.3,7
SiII_1526.7,1526.7,36
SiII_1533.4*,1533.4,12
SiII_1808.0,1808.0,12
SiII_1816.9*,1816.9,2
SiII_1817.5*,1817.5,2
SiIV_1393.7,1393.7,23
SiIV_1402.7,1402.7,21
OI_1302.2,1302.2,24
OI_1304.9*,1304.9,1
OI_1306.0*,1306.0,1
CI_1560.3,1560.3,5
CI_1613.4,1613.4,3
CI_1656.9,1656.9,4
CII_1334.5,1334.5,22
CII_1335.7*,1335.7,9
CIV_1548.2,1548.2,51
CIV_1550.8,1550.8,51
AlII_1670.8,1670.8,24
AlIII_1854.7,1854.7,15
AlIII_1862.8,1862.8,11
NV_1242.8,1242.8,4
NV_1238.8,1238.8,1
CaII_3934.8,3934.8,10
CaII_3969.6,3969.6,8
ZnII_2026.1,2026.1,18
ZnII_2062.7,2062.7,13
MnII_2576.9,2576.9,12
MnII_2594.5,2594.5,5
MnII_2606.5,2606.5,5
NiII_1709.6,1709.6,4
NiII_1741.6,1741.6,6
NiII_2166.2*,2166.2,6
NiII_2169.8*,2169.8,2
NiII_2175.4*,2175.4,2
NiII_2217.2*,2217.2,4
NiII_2316.7*,2316.7,4
CrII_2056.3,2056.3,7
CrII_2062.2,2062.2,13
CrII_2066.2,2066.2,4
SI_1807.3,1807.3,2
SII_1259.5,1259.5,2
FeII_1608.4,1608.4,20
FeII_1612.8*,1612.8,3
FeII_1618.5*,1618.5,3
FeII_1621.7*,1621.7,3
FeII_1629.2*,1629.2,3
FeII_1634.4*,1634.4,2
FeII_1636.3*,1636.3,3
FeII_1637.4*,1637.4,2
FeII_1702.0*,1702.0,2
FeII_2249.9,2249.9,5
FeII_2260.8,2260.8,6
FeII_2328.1*,2328.1,2
FeII_2333.5*,2333.5,4
FeII_2338.7*,2338.7,5
FeII_2344.2,2344.2,30
FeII_2345.0*,2345.0,3
FeII_2349.0*,2349.0,4
FeII_2359.8*,2359.8,3
FeII_2365.6*,2365.6,4
FeII_2374.5,2374.5,28
FeII_2381.5*,2381.5,4
FeII_2382.8,2382.8,33
FeII_2383.8*,2383.8,4
FeII_2389.4*,2389.4,3
FeII_2396.2*,2396.2,2
FeII_2396.4*,2396.4,7
FeII_2400.0*,2400.0,4
FeII_2405.6*,2405.6,8
FeII_2407.4*,2407.4,3
FeII_2411.3*,2411.3,7
FeII_2411.8*,2411.8,3
FeII_2414.1*,2414.1,3
FeII_2586.7,2586.7,32
FeII_2600.2,2600.2,37
FeII_2607.9*,2607.9,4
FeII_2612.7*,2612.7,5
FeII_2614.6*,2614.6,2
FeII_2618.4*,2618.4,2
FeII_2622.5*,2622.5,3
FeII_2626.5*,2626.5,3
FeII_2629.1*,2629.1,2
FeII_2631.9*,2631.9,1
