name,wvlg
Ly_alpha,1215.6701
Ly_beta,1025.7223
Ly_gamma,972.5368
Ly_delta,949.7431
Ly_limit,911.7633
CI_1560,1560.3092
CI_1657,1656.9284
CII_1334,1334.5323
CII_1335*,1335.7077
CIV_1548,1548.2049
CIV_1550,1550.77845
NV_1239,1238.821
NV_1243,1242.804
OI_1302,1302.1685
OI_1305*,1304.8576
OI_1306**,1306.0286
NaI_5892,5891.5833
NaI_5898,5897.5581
MgI_2853,2852.96328
MgI_2026,2026.4768
MgII_2796,2796.3542699
MgII_2804,2803.5314853
AlI_3945,3945.1224
AlI_3083,3083.0462
AlI_2368,2367.7750
AlI_2264,2264.1647
AlII_1671,1670.7886
AlIII_1863,1862.79113
AlIII_1855,1854.71829
SiI_2515,2515.0725
SiI_1846,1845.5205
SiI_1693,1693.2939
SiI_1631,1631.170
SiI_1562,1562.002
SiII_1808,1808.0
SiII_1817*,1816.9
SiII_1818*,1817.5
SiII_1527,1526.70698
SiII_1304,1304.3702
SiII_1260,1260.4221
SiII_1533*,1533.4316
SiII_1309*,1309.2757
SiII_1265*,1264.7377
SiII_1197*,1197.3938
SiII_1194*,1194.5002
SiIV_1394,1393.76018
SiIV_1403,1402.77291
SI_1807,1807.3113
SI_1474,1473.9943
SI_1296,1295.6531
SII_1254,1253.805
ClI_1347,1347.2396
CaI_4228,4227.918
CaI_2276,2276.169
CaII_3935,3934.7750
CaII_3970,3969.5901
ScII_3644,3643.822
ScII_3582,3581.947
ScII_3569,3568.715
TiII_3385,3384.7304
VII_2741,2740.525
VII_2684,2683.887
CrII_2056,2056.25693
CrII_2062,2062.2
MnII_2606,2606.462
MnII_2594,2594.499
MnII_2577,2576.877
FeI_3721,3720.9928
FeI_3022,3021.5187
FeI_2968,2967.7646
FeI_2720,2719.8329
FeI_2524,2523.6083
FeI_2502,2501.8858
FeI_2484,2484.0209
FeI_2463,2463.3922
FeI_2299,2298.8769
FeI_2167,2167.4534
FeI_2133,2132.690
FeI_2085,2084.785
FeI_1937,1937.268
FeI_1935,1934.5351
FeI_1875,1875.158
FeI_1852,1851.690
FeII_2411*,2411.3
FeII_2600,2600.1724835
FeII_2587,2586.6495659
FeII_2383,2382.7641781
FeII_2374,2374.4603294
FeII_2368,2367.5895925
FeII_2344,2344.2129601
FeII_2261,2260.7805
FeII_2234,2234.4472
FeII_2250,2249.8768
FeII_1902,1901.7730
FeII_1613*,1612.8
FeII_1611,1611.20034
FeII_1608,1608.45085
FeII_1589,1588.6876
FeII_1261,1260.533
CoII_2059,2059.4756
CoII_2026,2026.4122
CoII_2012,2012.1664
CoII_1941,1941.2852
CoII_1575,1574.5508
CoII_1573,1572.6489
CoII_1553,1552.7624
CoII_1481,1480.9546
CoII_1466,1466.2110
CoII_1425,1424.7866
NiI_2321,2320.7468
NiI_2312,2311.669
NiII_1752,1751.9157
NiII_1742,1741.5531
NiII_1710,1709.6042
NiII_1703,1703.4119
NiII_1502,1502.148
NiII_1468,1467.756
NiII_1467,1467.259
NiII_1455,1454.842
NiII_1393,1393.324
NiII_1370,1370.132
NiII_1317,1317.217
CuII_1368,1367.9509
CuII_1359,1358.773
ZnI_2139,2138.5735
ZnII_2063,2062.66045
ZnII_2026,2026.13709
