name,wvlg,freq
CIV_1548,1548.2,51
CIV_1550,1550.8,51
MgI_2853,2852.96328
MgI_2026,2026.4768
MgII_2796,2796.3,37
MgII_2804,2803.5,48
SiII_1260,1260.4,16
SiII_1304,1304.4,24
SiII_1309*,1309.3,7
SiII_1527,1526.7,36
SiII_1533*,1533.4,12
SiIV_1394,1393.7,23
SiIV_1403,1402.7,21
OI_1302,1302.2,24
OI_1305*,1304.9,1
OI_1306*,1306.0,1
CII_1334,1334.5,22
CII_1335*,1335.7,9
AlIII_1855,1854.7,15
AlIII_1863,1862.8,11
SiII_1808,1808.0,12
SiII_1817*,1816.9,2
SiII_1818*,1817.5,2
AlII_1671,1670.8,24
ZnII_2026,2026.1,18
ZnII_2063,2062.7,13
MnII_2577,2576.9,12
MnII_2594,2594.5,5
MnII_2606,2606.5,5
NiII_1710,1709.6,4
NiII_1742,1741.6,6
MgI_2026,2026.5,17
CrII_2056,2056.3,7
CrII_2062,2062.2,13
FeII_1608,1608.4,20
FeII_1613*,1612.8,3
FeII_2250,2249.9,5
FeII_2261,2260.8,6
FeII_2344,2344.2,30
FeII_2374,2374.5,28
FeII_2383,2382.8,33
FeII_2411*,2411.3,7
FeII_2587,2586.7,32
FeII_2600,2600.2,37
NV_1243,1242.8,4
NV_1239,1238.8,1
CaII_3935,3934.8,10
CaII_3970,3969.6,8
