wvlg,transmission
5885.384,1.0
5885.384,0.967
5885.628,0.967
5885.628,1.0
5887.013,1.0
5887.013,0.94
5889.566,0.94
5889.566,1.0
5893.029,1.0
5893.029,0.957
5893.526,0.957
5893.526,1.0
5893.806,1.0
5893.806,0.959
5894.199,0.959
5894.199,1.0
5899.555,1.0
5899.555,0.946
5899.97,0.946
5899.97,1.0
5900.457,1.0
5900.457,0.973
5900.788,0.973
5900.788,1.0
5901.351,1.0
5901.351,0.943
5901.827,0.943
5901.827,1.0
5902.875,1.0
5902.875,0.935
5903.313,0.935
5903.313,1.0
5910.493,1.0
5910.493,0.97
5910.784,0.97
5910.784,1.0
5911.998,1.0
5911.998,0.962
5912.677,0.962
5912.677,1.0
5914.386,1.0
5914.386,0.97
5914.756,0.97
5914.756,1.0
5915.6,1.0
5915.6,0.974
5916.037,0.974
5916.037,1.0
5916.367,1.0
5916.367,0.973
5917.406,0.973
5917.406,1.0
5919.867,1.0
5919.867,0.954
5920.275,0.954
5920.275,1.0
5920.508,1.0
5920.508,0.947
5920.828,0.947
5920.828,1.0
5921.1,1.0
5921.1,0.938
5921.498,0.938
5921.498,1.0
5925.684,1.0
5925.684,0.953
5926.092,0.953
5926.092,1.0
5929.679,1.0
5929.679,0.97
5930.077,0.97
5930.077,1.0
5933.582,1.0
5933.582,0.951
5933.951,0.951
5933.951,1.0
5934.252,1.0
5934.252,0.97
5934.572,0.97
5934.572,1.0
5941.917,1.0
5941.917,0.974
5942.267,0.974
5942.267,1.0
5942.461,1.0
5942.461,0.943
5942.946,0.943
5942.946,1.0
5943.121,1.0
5943.121,0.941
5943.461,0.941
5943.461,1.0
5943.83,1.0
5943.83,0.947
5944.491,0.947
5944.491,1.0
5945.67,1.0
5945.67,0.934
5947.884,0.934
5947.884,1.0
5948.302,1.0
5948.302,0.958
5948.865,0.958
5948.865,1.0
5950.612,1.0
5950.612,0.968
5951.642,0.968
5951.642,1.0
5956.433,1.0
5956.433,0.976
5956.821,0.976
5956.821,1.0
5959.288,1.0
5959.288,0.967
5960.501,0.967
5960.501,1.0
6277.848,1.0
6277.848,0.725
6287.767,0.725
6287.767,1.0
6289.205,1.0
6289.205,0.889
6289.852,0.889
6289.852,1.0
6290.678,1.0
6290.678,0.841
6292.295,0.841
6292.295,1.0
6293.589,1.0
6293.589,0.84
6294.991,0.84
6294.991,1.0
6296.644,1.0
6296.644,0.814
6298.01,0.814
6298.01,1.0
6299.878,1.0
6299.878,0.815
6301.28,0.815
6301.28,1.0
6303.329,1.0
6303.329,0.816
6304.838,0.816
6304.838,1.0
6307.276,1.0
6307.276,0.842
6308.66,0.842
6308.66,1.0
6311.292,1.0
6311.292,0.884
6312.709,0.884
6312.709,1.0
6315.645,1.0
6315.645,0.896
6317.264,0.896
6317.264,1.0
6320.25,1.0
6320.25,0.95
6321.58,0.95
6321.58,1.0
6325.07,1.0
6325.07,0.97
6326.58,0.97
6326.58,1.0
6473.992,1.0
6473.992,0.961
6475.166,0.961
6475.166,1.0
6476.613,1.0
6476.613,0.904
6477.788,0.904
6477.788,1.0
6480.737,1.0
6480.737,0.926
6482.103,0.926
6482.103,1.0
6484.698,1.0
6484.698,0.92
6485.954,0.92
6485.954,1.0
6488.412,1.0
6488.412,0.957
6488.712,0.957
6488.712,1.0
6490.706,1.0
6490.706,0.97
6491.116,0.97
6491.116,1.0
6492.317,1.0
6492.317,0.912
6492.836,0.912
6492.836,1.0
6494.475,1.0
6494.475,0.932
6494.912,0.932
6494.912,1.0
6497.425,1.0
6497.425,0.907
6497.889,0.907
6497.889,1.0
6499.063,1.0
6499.063,0.973
6499.637,0.973
6499.637,1.0
6510.206,1.0
6510.206,0.965
6510.509,0.965
6510.509,1.0
6513.543,1.0
6513.543,0.966
6514.244,0.966
6514.244,1.0
6516.228,1.0
6516.228,0.899
6516.765,0.899
6516.765,1.0
6517.419,1.0
6517.419,0.961
6517.839,0.961
6517.839,1.0
6518.096,1.0
6518.096,0.892
6518.609,0.892
6518.609,1.0
6518.726,1.0
6518.726,0.964
6519.053,0.964
6519.053,1.0
6519.613,1.0
6519.613,0.964
6519.963,0.964
6519.963,1.0
6521.014,1.0
6521.014,0.958
6521.504,0.958
6521.504,1.0
6868.713,1.0
6868.713,0.09
6882.348,0.09
6882.348,1.0
6885.302,1.0
6885.302,0.332
6886.136,0.332
6886.136,1.0
6887.173,1.0
6887.173,0.276
6889.157,0.276
6889.157,1.0
6890.306,1.0
6890.306,0.229
6892.29,0.229
6892.29,1.0
6893.755,1.0
6893.755,0.208
6895.693,0.208
6895.693,1.0
6897.497,1.0
6897.497,0.207
6899.345,0.207
6899.345,1.0
6901.318,1.0
6901.318,0.36
6903.309,0.36
6903.309,1.0
6905.611,1.0
6905.611,0.404
6907.407,0.404
6907.407,1.0
6910.021,1.0
6910.021,0.448
6911.817,0.448
6911.817,1.0
6914.705,1.0
6914.705,0.546
6916.344,0.546
6916.344,1.0
6919.662,1.0
6919.662,0.607
6921.34,0.607
6921.34,1.0
6924.814,1.0
6924.814,0.693
6926.414,0.693
6926.414,1.0
6930.278,1.0
6930.278,0.796
6931.956,0.796
6931.956,1.0
6935.196,1.0
6935.196,0.866
6937.538,0.866
6937.538,1.0
6939.351,1.0
6939.351,0.941
6940.335,0.941
6940.335,1.0
6941.302,1.0
6941.302,0.913
6944.528,0.913
6944.528,1.0
6945.35,1.0
6945.35,0.915
6946.076,0.915
6946.076,1.0
6948.269,1.0
6948.269,0.965
6948.672,0.965
6948.672,1.0
6949.091,1.0
6949.091,0.874
6949.833,0.874
6949.833,1.0
6950.656,1.0
6950.656,0.937
6951.301,0.937
6951.301,1.0
6952.43,1.0
6952.43,0.963
6953.316,0.963
6953.316,1.0
6955.221,1.0
6955.221,0.959
6956.016,0.959
6956.016,1.0
6958.017,1.0
6958.017,0.871
6958.689,0.871
6958.689,1.0
6961.088,1.0
6961.088,0.928
6961.73,0.928
6961.73,1.0
6962.921,1.0
6962.921,0.889
6963.487,0.889
6963.487,1.0
6966.176,1.0
6966.176,0.968
6966.649,0.968
6966.649,1.0
6979.103,1.0
6979.103,0.963
6979.573,0.963
6979.573,1.0
6983.1,1.0
6983.1,0.966
6983.688,0.966
6983.688,1.0
6988.242,1.0
6988.242,0.941
6988.672,0.941
6988.672,1.0
6990.638,1.0
6990.638,0.93
6991.149,0.93
6991.149,1.0
6992.034,1.0
6992.034,0.957
6993.151,0.957
6993.151,1.0
6995.132,1.0
6995.132,0.957
6996.29,0.957
6996.29,1.0
7000.459,1.0
7000.459,0.924
7001.317,0.924
7001.317,1.0
7006.464,1.0
7006.464,0.952
7007.434,0.952
7007.434,1.0
7011.497,1.0
7011.497,0.947
7012.026,0.947
7012.026,1.0
7012.797,1.0
7012.797,0.918
7013.616,0.918
7013.616,1.0
7016.988,1.0
7016.988,0.817
7019.59,0.817
7019.59,1.0
7020.987,1.0
7020.987,0.958
7021.565,0.958
7021.565,1.0
7022.24,1.0
7022.24,0.97
7023.059,0.97
7023.059,1.0
7024.167,1.0
7024.167,0.954
7024.6,0.954
7024.6,1.0
7025.117,1.0
7025.117,0.949
7025.763,0.949
7025.763,1.0
7028.069,1.0
7028.069,0.841
7030.141,0.841
7030.141,1.0
7041.482,1.0
7041.482,0.95
7041.993,0.95
7041.993,1.0
7149.423,1.0
7149.423,0.929
7149.796,0.929
7149.796,1.0
